level_0,level_1,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
CHEMBL3112376,0,,13902127.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccccc4)c3=O)nc2c1C,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145420,,CHEMBL3145420,,False,http://www.openphacts.org/units/Nanomolar,1966013.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,1,,13902128.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(Cl)cc1Cl,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145438,,CHEMBL3145438,,False,http://www.openphacts.org/units/Nanomolar,1965997.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,2,,13902129.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(Cl)cc1,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145437,,CHEMBL3145437,,False,http://www.openphacts.org/units/Nanomolar,1965996.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,3,,13902130.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccccc1Cl,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145418,,CHEMBL3145418,,False,http://www.openphacts.org/units/Nanomolar,1965994.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,4,,13902131.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,O=c1c(Cc2ccccc2)c(-c2ccccc2)[nH]n1-c1nc2ccccc2[nH]1,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145434,,CHEMBL3145434,,False,http://www.openphacts.org/units/Nanomolar,1965990.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,5,,13902132.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1c(-c2ccccc2)[nH]n(-c2nc3ccccc3[nH]2)c1=O,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145433,,CHEMBL3145433,,False,http://www.openphacts.org/units/Nanomolar,1965989.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,6,,13902133.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]n(-c2nc3c(C)cccc3[nH]2)c(=O)c1C,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145428,,CHEMBL3145428,,False,http://www.openphacts.org/units/Nanomolar,1965982.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,7,,13902134.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]n(-c2ccccn2)c(=O)c1C,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145426,,CHEMBL3145426,,False,http://www.openphacts.org/units/Nanomolar,1965980.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,8,,13902135.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]n(-c2ncccn2)c(=O)c1C,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145425,,CHEMBL3145425,,False,http://www.openphacts.org/units/Nanomolar,1965979.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
CHEMBL3112376,9,,13902136.0,[],CHEMBL3119218,Inhibition of demethylase activity of PCA-1 (unknown origin) using 3-methyl cytosine oligo DNA as substrate after 1 hr by RT-PCR analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]n(-c2nc3ccccc3n2C)c(=O)c1C,,,CHEMBL3112445,Bioorg. Med. Chem. Lett.,2014,,CHEMBL3145424,,CHEMBL3145424,,False,http://www.openphacts.org/units/Nanomolar,1965978.0,>,1.0,True,>,,IC50,nM,,10000.0,CHEMBL3112376,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,9606,,,IC50,uM,UO_0000065,,10.0
